lastname|name|patronymic|date_of_birth|id
Коновалова|Фаина|Феликсовна|20.05.1946|712988719-2350
Ангелина|Аркадьевна|Гурьева|22.02.1999|887602324-9155
Евгения|Михайловна|Юдина|29.07.1923|672791216-6656
Котов|Эммануил|Авдеевич|10.11.1948|575153625-5026
Василиса|Макаровна|Лихачева|16.12.1934|477240545-6349
Боян|Ефимьевич|Мухин|26.04.1933|967605469-5894
Ия|Игоревна|Владимирова|04.07.1912|747786388-8353
Оксана|Андреевна|Лазарева|15.04.1990|525529724-7696
Харлампий|Жоресович|Белов|20.12.1913|406183770-9681
Мстислав|Аверьянович|Денисов|27.03.2011|248625276-5970
Денисов|Аполлинарий|Трифонович|17.04.1914|166030662-143
Яковлев|Любомир|Алексеевич|08.08.2014|785540105-8581
Гордей|Димитриевич|Мухин|06.10.1985|740658199-5918
Кира|Никифоровна|Гурьева|21.03.1937|336497643-692
Титов|Всемил|Давыдович|08.03.1910|818552104-8390
Надежда|Филипповна|Пахомова|10.06.1921|444076412-8914
Аггей|Филимонович|Тетерин|13.09.2016|459674015-6873
Остромир|Геннадиевич|Кузнецов|31.08.1977|198247224-1134
Раиса|Петровна|Селиверстова|26.11.1934|150295218-5687
Авксентий|Виленович|Харитонов|07.02.1964|867959468-7631
Осип|Феликсович|Савин|30.11.1951|352818059-1587
Полякова|Милица|Рудольфовна|22.06.1940|064538461-5309
Евдокимова|Людмила|Андреевна|16.01.2005|630878083-8186
Эдуард|Матвеевич|Данилов|14.05.1955|325144200-3097
Исаев|Тимофей|Тихонович|27.03.2018|440304000-8806
Андреева|Дарья|Святославовна|17.03.1918|541733770-2111
Дарья|Олеговна|Владимирова|01.06.1991|820928261-4769
Иванова|Елена|Федоровна|20.04.1958|710492624-2442
Иванна|Ивановна|Петрова|10.10.1931|390054080-1789
Виктория|Леоновна|Денисова|29.03.1922|775081904-7447
Осипова|Элеонора|Кузьминична|24.01.1916|513721678-3337
Милица|Руслановна|Симонова|22.10.1983|913111170-7282
Нестеров|Клавдий|Эдгарович|09.06.2023|606527646-6607
Кононова|Алла|Натановна|31.08.2007|493992856-5548
Андрей|Дмитриевич|Субботин|02.06.1939|114900704-45
Тарасов|Елизар|Марсович|08.04.2016|503776861-6051
Ефим|Ефимьевич|Федоров|12.08.1945|765649038-6164
Устинов|Ким|Витальевич|18.02.1936|388038037-487
Ксения|Владиславовна|Кудрявцева|23.12.1967|172989733-3496
Севастьян|Егорович|Кулагин|08.08.1974|799804010-2437
Зимина|Нина|Артемовна|31.08.1958|827617241-5691
Евдокия|Геннадьевна|Крылова|03.07.2019|084974959-1291
Авдеева|Ольга|Геннадиевна|08.04.1999|598198833-1826
Август|Васильевич|Воронов|31.12.1929|743764562-1163
София|Святославовна|Жданова|10.06.1966|636360245-9750
Дмитриева|Тамара|Натановна|05.04.2008|398147638-6692
Александра|Артемовна|Гущина|07.05.1984|401436557-1415
Кира|Матвеевна|Веселова|11.12.1948|259032254-6791
